# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 249:         4.979       52.644      -2.40  BERKHOUT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  270,20100601,  128
  270,20100602,  135
  270,20100603,  133
  270,20100604,  126
  270,20100605,  143
  270,20100606,  172
  270,20100607,  138
  270,20100608,  165
  270,20100609,  167
  270,20100610,  180
  270,20100611,  156
  270,20100612,  132
  270,20100613,  134
  270,20100614,  137
  270,20100615,  119
  270,20100616,  127
  270,20100617,  136
  270,20100618,  127
  270,20100619,  113
  270,20100620,  114
  270,20100621,  111
  270,20100622,  131
  270,20100623,  173
  270,20100624,  177
  270,20100625,  166
  270,20100626,  163
  270,20100627,  197
  270,20100628,  197
  270,20100629,  176
  270,20100630,  179
  270,20100701,  200
  270,20100702,  244
  270,20100703,  205
  270,20100704,  188
  270,20100705,  177
  270,20100706,  155
  270,20100707,  183
  270,20100708,  200
  270,20100709,  232
  270,20100710,  236
  270,20100711,  216
  270,20100712,  199
  270,20100713,  195
  270,20100714,  216
  270,20100715,  183
  270,20100716,  185
  270,20100717,  167
  270,20100718,  173
  270,20100719,  203
  270,20100720,  238
  270,20100721,  214
  270,20100722,  185
  270,20100723,  173
  270,20100724,  145
  270,20100725,  165
  270,20100726,  168
  270,20100727,  181
  270,20100728,  173
  270,20100729,  163
  270,20100730,  166
  270,20100731,  173
  270,20100801,  183
  270,20100802,  165
  270,20100803,  163
  270,20100804,  159
  270,20100805,  152
  270,20100806,  165
  270,20100807,  169
  270,20100808,  170
  270,20100809,  173
  270,20100810,  174
  270,20100811,  166
  270,20100812,  151
  270,20100813,  152
  270,20100814,  171
  270,20100815,  177
  270,20100816,  188
  270,20100817,  165
  270,20100818,  165
  270,20100819,  168
  270,20100820,  195
  270,20100821,  198
  270,20100822,  183
  270,20100823,  179
  270,20100824,  156
  270,20100825,  152
  270,20100826,  137
  270,20100827,  141
  270,20100828,  135
  270,20100829,  118
  270,20100830,  142
  270,20100831,  126
  270,20100901,  136
  270,20100902,  140
  270,20100903,  134
  270,20100904,  137
  270,20100905,  130
  270,20100906,  144
  270,20100907,  127
  270,20100908,  148
  270,20100909,  148
  270,20100910,  154
  270,20100911,  175
  270,20100912,  155
  270,20100913,  151
  270,20100914,  160
  270,20100915,  133
  270,20100916,  126
  270,20100917,  115
  270,20100918,  113
  270,20100919,  126
  270,20100920,  149
  270,20100921,  144
  270,20100922,  161
  270,20100923,  162
  270,20100924,  146
  270,20100925,  113
  270,20100926,  102
  270,20100927,  128
  270,20100928,  111
  270,20100929,   95
  270,20100930,   98
  270,20101001,  120
  270,20101002,  144
  270,20101003,  182
  270,20101004,  177
  270,20101005,  158
  270,20101006,  155
  270,20101007,  136
  270,20101008,  146
  270,20101009,  117
  270,20101010,   99
  270,20101011,   90
  270,20101012,   96
  270,20101013,  106
  270,20101014,  112
  270,20101015,  102
  270,20101016,   78
  270,20101017,   51
  270,20101018,   82
  270,20101019,   88
  270,20101020,   70
  270,20101021,   85
  270,20101022,  107
  270,20101023,   81
  270,20101024,   83
  270,20101025,   80
  270,20101026,   71
  270,20101027,   92
  270,20101028,  113
  270,20101029,  100
  270,20101030,  108
  270,20101031,   90
  270,20101101,   85
  270,20101102,  100
  270,20101103,  118
  270,20101104,  140
  270,20101105,  123
  270,20101106,   81
  270,20101107,   50
  270,20101108,   37
  270,20101109,   45
  270,20101110,   53
  270,20101111,   63
  270,20101112,  107
  270,20101113,   82
  270,20101114,   98
  270,20101115,   63
  270,20101116,   50
  270,20101117,   46
  270,20101118,   47
  270,20101119,   33
  270,20101120,   49
  270,20101121,   57
  270,20101122,   47
  270,20101123,   47
  270,20101124,   22
  270,20101125,    9
  270,20101126,  -17
  270,20101127,  -20
  270,20101128,  -33
  270,20101129,  -13
  270,20101130,  -21
  270,20101201,  -55
  270,20101202,  -39
  270,20101203,  -43
  270,20101204,  -17
  270,20101205,    9
  270,20101206,  -25
  270,20101207,  -48
  270,20101208,  -30
  270,20101209,   18
  270,20101210,   25
  270,20101211,   61
  270,20101212,   21
  270,20101213,   -5
  270,20101214,  -12
  270,20101215,   15
  270,20101216,   10
  270,20101217,  -18
  270,20101218,  -42
  270,20101219,  -58
  270,20101220,  -43
  270,20101221,  -74
  270,20101222,  -34
  270,20101223,    1
  270,20101224,  -12
  270,20101225,  -20
  270,20101226,   -7
  270,20101227,    1
  270,20101228,   -8
  270,20101229,  -40
  270,20101230,  -14
  270,20101231,   30
  270,20110101,   32
  344,20100101,  -14
  344,20100102,    4
  344,20100103,  -31
  344,20100104,  -11
  344,20100105,    3
  344,20100106,  -21
  344,20100107,  -38
  344,20100108,  -48
  344,20100109,  -17
  344,20100110,   -5
  344,20100111,   -3
  344,20100112,  -12
  344,20100113,  -22
  344,20100114,   10
  344,20100115,   16
  344,20100116,   19
  344,20100117,   50
  344,20100118,   40
  344,20100119,   46
  344,20100120,   28
  344,20100121,   30
  344,20100122,   45
  344,20100123,   26
  344,20100124,    4
  344,20100125,  -17
  344,20100126,  -62
  344,20100127,   -5
  344,20100128,   37
  344,20100129,   29
  344,20100130,    8
  344,20100131,   12
  344,20100201,    9
  344,20100202,   34
  344,20100203,   28
  344,20100204,   67
  344,20100205,   48
  344,20100206,   19
  344,20100207,   13
  344,20100208,  -23
  344,20100209,  -29
  344,20100210,  -22
  344,20100211,  -19
  344,20100212,  -23
  344,20100213,  -14
  344,20100214,  -24
  344,20100215,  -29
  344,20100216,    2
  344,20100217,   -5
  344,20100218,   32
  344,20100219,   34
  344,20100220,   14
  344,20100221,   14
  344,20100222,   42
  344,20100223,   25
  344,20100224,   69
  344,20100225,   82
  344,20100226,   73
  344,20100227,   69
  344,20100228,   59
  344,20100301,   40
  344,20100302,   26
  344,20100303,   21
  344,20100304,   21
  344,20100305,   26
  344,20100306,   11
  344,20100307,  -10
  344,20100308,    5
  344,20100309,    6
  344,20100310,    9
  344,20100311,   27
  344,20100312,   43
  344,20100313,   54
  344,20100314,   62
  344,20100315,   65
  344,20100316,   63
  344,20100317,   78
  344,20100318,  115
  344,20100319,  124
  344,20100320,  133
  344,20100321,   77
  344,20100322,   81
  344,20100323,   96
  344,20100324,  138
  344,20100325,  147
  344,20100326,  106
  344,20100327,   95
  344,20100328,   88
  344,20100329,  103
  344,20100330,   99
  344,20100331,   61
  344,20100401,   56
  344,20100402,   79
  344,20100403,   76
  344,20100404,   71
  344,20100405,   73
  344,20100406,  117
  344,20100407,  127
  344,20100408,   84
  344,20100409,   90
  344,20100410,   75
  344,20100411,   68
  344,20100412,   92
  344,20100413,   90
  344,20100414,   96
  344,20100415,   87
  344,20100416,   74
  344,20100417,   69
  344,20100418,   88
  344,20100419,   88
  344,20100420,   86
  344,20100421,   65
  344,20100422,   60
  344,20100423,   74
  344,20100424,  121
  344,20100425,  130
  344,20100426,  116
  344,20100427,  132
  344,20100428,  169
  344,20100429,  172
  344,20100430,  116
  344,20100501,  106
  344,20100502,   75
  344,20100503,   66
  344,20100504,   71
  344,20100505,   76
  344,20100506,   89
  344,20100507,   77
  344,20100508,   90
  344,20100509,   89
  344,20100510,   70
  344,20100511,   71
  344,20100512,   67
  344,20100513,   71
  344,20100514,   78
  344,20100515,   90
  344,20100516,  113
  344,20100517,  110
  344,20100518,   95
  344,20100519,  102
  344,20100520,  133
  344,20100521,  130
  344,20100522,  131
  344,20100523,  167
  344,20100524,  163
  344,20100525,  136
  344,20100526,  105
  344,20100527,  108
  344,20100528,  112
  344,20100529,  148
  344,20100530,  121
  344,20100531,  119
  344,20100601,  117
  344,20100602,  146
  344,20100603,  158
  344,20100604,  167
  344,20100605,  197
  344,20100606,  180
  344,20100607,  151
  344,20100608,  169
  344,20100609,  174
  344,20100610,  182
  344,20100611,  153
  344,20100612,  131
  344,20100613,  133
  344,20100614,  162
  344,20100615,  135
  344,20100616,  154
  344,20100617,  166
  344,20100618,  129
  344,20100619,  116
  344,20100620,  115
  344,20100621,  133
  344,20100622,  147
  344,20100623,  184
  344,20100624,  189
  344,20100625,  186
  344,20100626,  190
  344,20100627,  213
  344,20100628,  207
  344,20100629,  191
  344,20100630,  205
  344,20100701,  217
  344,20100702,  258
  344,20100703,  200
  344,20100704,  190
  344,20100705,  184
  344,20100706,  163
  344,20100707,  195
  344,20100708,  214
  344,20100709,  244
  344,20100710,  237
  344,20100711,  223
  344,20100712,  197
  344,20100713,  203
  344,20100714,  209
  344,20100715,  187
  344,20100716,  190
  344,20100717,  172
  344,20100718,  181
  344,20100719,  207
  344,20100720,  242
  344,20100721,  217
  344,20100722,  179
  344,20100723,  166
  344,20100724,  166
  344,20100725,  170
  344,20100726,  164
  344,20100727,  177
  344,20100728,  181
  344,20100729,  166
  344,20100730,  178
  344,20100731,  188
  344,20100801,  180
  344,20100802,  172
  344,20100803,  178
  344,20100804,  170
  344,20100805,  157
  344,20100806,  176
  344,20100807,  179
  344,20100808,  171
  344,20100809,  182
  344,20100810,  180
  344,20100811,  174
  344,20100812,  151
  344,20100813,  150
  344,20100814,  177
  344,20100815,  175
  344,20100816,  193
  344,20100817,  163
  344,20100818,  170
  344,20100819,  174
  344,20100820,  209
  344,20100821,  210
  344,20100822,  194
  344,20100823,  190
  344,20100824,  169
  344,20100825,  162
  344,20100826,  181
  344,20100827,  150
  344,20100828,  135
  344,20100829,  138
  344,20100830,  147
  344,20100831,  131
  344,20100901,  130
  344,20100902,  132
  344,20100903,  135
  344,20100904,  133
  344,20100905,  137
  344,20100906,  157
  344,20100907,  131
  344,20100908,  146
  344,20100909,  161
  344,20100910,  163
  344,20100911,  182
  344,20100912,  153
  344,20100913,  152
  344,20100914,  164
  344,20100915,  141
  344,20100916,  123
  344,20100917,  115
  344,20100918,  116
  344,20100919,  141
  344,20100920,  159
  344,20100921,  155
  344,20100922,  162
  344,20100923,  167
  344,20100924,  147
  344,20100925,  112
  344,20100926,   96
  344,20100927,  102
  344,20100928,  135
  344,20100929,  114
  344,20100930,  117
  344,20101001,  132
  344,20101002,  160
  344,20101003,  192
  344,20101004,  183
  344,20101005,  167
  344,20101006,  160
  344,20101007,  140
  344,20101008,  142
  344,20101009,  140
  344,20101010,  119
  344,20101011,  101
  344,20101012,   97
  344,20101013,  106
  344,20101014,  100
  344,20101015,  105
  344,20101016,   79
  344,20101017,   51
  344,20101018,   88
  344,20101019,   93
  344,20101020,   67
  344,20101021,   85
  344,20101022,   98
  344,20101023,   79
  344,20101024,   81
  344,20101025,   62
  344,20101026,   75
  344,20101027,   95
  344,20101028,  117
  344,20101029,  113
  344,20101030,  118
  344,20101031,   92
  344,20101101,   85
  344,20101102,  113
  344,20101103,  133
  344,20101104,  149
  344,20101105,  141
  344,20101106,   99
  344,20101107,   59
  344,20101108,   56
  344,20101109,   51
  344,20101110,   58
  344,20101111,   75
  344,20101112,  114
  344,20101113,  105
  344,20101114,  112
  344,20101115,   64
  344,20101116,   44
  344,20101117,   46
  344,20101118,   57
  344,20101119,   72
  344,20101120,   60
  344,20101121,   49
  344,20101122,   38
  344,20101123,   36
  344,20101124,   31
  344,20101125,   26
  344,20101126,   10
  344,20101127,   10
  344,20101128,  -24
  344,20101129,  -23
  344,20101130,  -14
  344,20101201,  -57
  344,20101202,  -67
  344,20101203,  -51
  344,20101204,  -13
  344,20101205,   28
  344,20101206,    3
  344,20101207,  -24
  344,20101208,  -11
  344,20101209,   40
  344,20101210,   50
  344,20101211,   71
  344,20101212,   37
  344,20101213,  -12
  344,20101214,  -26
  344,20101215,   18
  344,20101216,   21
  344,20101217,  -12
  344,20101218,  -29
  344,20101219,  -41
  344,20101220,  -51
  344,20101221,  -32
  344,20101222,  -16
  344,20101223,   -1
  344,20101224,   -5
  344,20101225,  -14
  344,20101226,   11
  344,20101227,    0
  344,20101228,   14
  344,20101229,   14
  344,20101230,    7
  344,20101231,   35
  344,20110101,   39
  380,20100101,  -20
  380,20100102,  -21
  380,20100103,  -39
  380,20100104,  -54
